DBA,Organization,CIDR,bits,net
,Builders FirstSource,104.245.26.0/29,29,104.245.26.0/29
,Washington & Lee University,137.113.0.0/16,16,137.113.0.0/16
,Fidelity National Financial Inc.,170.88.0.0/16,16,170.88.0.0/16
,"QuickPacket, LLC",172.82.128.0/20,20,172.82.128.0/20
,Choopa LLC,173.199.115.0/29,29,173.199.115.0/29
,Atlantic Broadband,173.44.89.0/24,24,173.44.89.0/24
,Marshfield Clinic Inc.,192.236.16.0/21,21,192.236.16.0/21
,Marshfield Clinic Inc.,192.236.24.0/23,23,192.236.24.0/23
,MetroCast Communications,198.52.15.0/24,24,198.52.15.0/24
,Eastman Chemical Company,199.190.0.0/20,20,199.190.0.0/20
,Global Cloud Infrastructure LLC,45.61.49.0/24,24,45.61.49.0/24
,NEXGEN NETWORKS,64.185.240.0/20,20,64.185.240.0/20
,WifiCow,64.64.115.0/24,24,64.64.115.0/24
,Blue Ridge Mountain Electric Membership Corporation - BRM EMC,66.119.96.0/20,20,66.119.96.0/20
,Common Fund - CS,66.150.78.0/24,24,66.150.78.0/24
,NOC4Hosts Inc.,66.232.96.0/19,19,66.232.96.0/19
 MI-FIBER-URBANDALE,MI-FIBER-URBANDALE,173.215.84.0/26,26,173.215.84.0/26
1&1,1&1 IONOS Inc.,104.192.4.0/22,22,104.192.4.0/22
1&1,1&1 IONOS Inc.,104.219.40.0/22,22,104.219.40.0/22
1&1,1&1 IONOS Inc.,104.254.244.0/22,22,104.254.244.0/22
1&1,1&1 IONOS Inc.,108.175.0.0/20,20,108.175.0.0/20
1&1,1&1 IONOS Inc.,162.255.84.0/22,22,162.255.84.0/22
1&1,1&1 IONOS Inc.,198.251.64.0/20,20,198.251.64.0/20
1&1,1&1 IONOS Inc.,198.71.48.0/20,20,198.71.48.0/20
1&1,1&1 IONOS Inc.,50.21.176.0/20,20,50.21.176.0/20
1&1,1&1 IONOS Inc.,74.208.0.0/16,16,74.208.0.0/16
"123.Net, Inc.","123.Net, Inc.",205.251.176.0/20,20,205.251.176.0/20
1ST MARINER BANK - TIMONIUM,1ST MARINER BANK - TIMONIUM,209.60.205.0/29,29,209.60.205.0/29
24 SHELLS,24 SHELLS,192.119.8.0/21,21,192.119.8.0/21
24 SHELLS,24 SHELLS,198.147.24.0/21,21,198.147.24.0/21
24 SHELLS,24 SHELLS,209.205.192.0/19,19,209.205.192.0/19
24 SHELLS,24 SHELLS,23.227.128.0/19,19,23.227.128.0/19
24 SHELLS,24 SHELLS,67.220.176.0/20,20,67.220.176.0/20
24SHELLS-LA,24SHELLS-LA,198.147.28.0/24,24,198.147.28.0/24
"3 Rivers Telephone Cooperative, Inc.","3 Rivers Telephone Cooperative, Inc.",76.75.39.0/24,24,76.75.39.0/24
"3 Rivers Telephone Cooperative, Inc.","3 Rivers Telephone Cooperative, Inc.",76.75.8.0/21,21,76.75.8.0/21
"5Nines Data, LLC","5Nines Data, LLC",173.229.0.0/19,19,173.229.0.0/19
A2F Networks,A2F Networks,192.119.160.0/24,24,192.119.160.0/24
A2F Networks,A2F Networks,192.119.164.0/24,24,192.119.164.0/24
ABB CANNONGATE,ABB CANNONGATE,173.233.105.0/24,24,173.233.105.0/24
ABT Electronics,ABT Electronics,104.193.119.0/29,29,104.193.119.0/29
ACC-APERION CARE BRADLEY,ACC-APERION CARE BRADLEY,209.65.42.0/29,29,209.65.42.0/29
ACC-KERASOTES SHOWPLACE THEAT,ACC-KERASOTES SHOWPLACE THEAT,209.64.168.0/29,29,209.64.168.0/29
ACC-MILE NORTH HOTEL,ACC-MILE NORTH HOTEL,209.36.145.0/24,24,209.36.145.0/24
ACC-ROCKVILLE HOSPITALITY INC,ACC-ROCKVILLE HOSPITALITY INC,207.140.19.0/29,29,207.140.19.0/29
ACCUITY INC,ACCUITY INC,76.8.92.0/26,26,76.8.92.0/26
ACD,ACD,216.163.42.0/23,23,216.163.42.0/23
ACD,ACD,69.89.117.0/24,24,69.89.117.0/24
ACS CONSULTANTS,ACS CONSULTANTS,74.93.45.0/29,29,74.93.45.0/29
ADESA Inc.,ADESA Inc.,65.172.252.0/22,22,65.172.252.0/22
ADVANCED TECHNOLOGY SERVICES INC.,ADVANCED TECHNOLOGY SERVICES INC.,204.194.56.0/21,21,204.194.56.0/21
AFNetworks,AFNetworks,45.56.200.0/24,24,45.56.200.0/24
AFRINIC,African Network Information Center,102.0.0.0/8,8,102.0.0.0/8
AFRINIC,African Network Information Center,105.0.0.0/8,8,105.0.0.0/8
AFRINIC,African Network Information Center,129.0.0.0/16,16,129.0.0.0/16
AFRINIC,African Network Information Center,129.205.0.0/16,16,129.205.0.0/16
AFRINIC,African Network Information Center,129.232.0.0/16,16,129.232.0.0/16
AFRINIC,African Network Information Center,129.45.0.0/16,16,129.45.0.0/16
AFRINIC,African Network Information Center,129.56.0.0/16,16,129.56.0.0/16
AFRINIC,African Network Information Center,154.0.0.0/8,8,154.0.0.0/8
AFRINIC,African Network Information Center,155.93.0.0/16,16,155.93.0.0/16
AFRINIC,African Network Information Center,156.0.0.0/16,16,156.0.0.0/16
AFRINIC,African Network Information Center,156.158.0.0/16,16,156.158.0.0/16
AFRINIC,African Network Information Center,156.162.0.0/16,16,156.162.0.0/16
AFRINIC,African Network Information Center,156.166.0.0/16,16,156.166.0.0/16
AFRINIC,African Network Information Center,156.172.0.0/16,16,156.172.0.0/16
AFRINIC,African Network Information Center,156.174.0.0/16,16,156.174.0.0/16
AFRINIC,African Network Information Center,156.178.0.0/16,16,156.178.0.0/16
AFRINIC,African Network Information Center,156.179.0.0/16,16,156.179.0.0/16
AFRINIC,African Network Information Center,156.185.0.0/16,16,156.185.0.0/16
AFRINIC,African Network Information Center,156.189.0.0/16,16,156.189.0.0/16
AFRINIC,African Network Information Center,156.194.0.0/16,16,156.194.0.0/16
AFRINIC,African Network Information Center,156.195.0.0/16,16,156.195.0.0/16
AFRINIC,African Network Information Center,156.196.0.0/16,16,156.196.0.0/16
AFRINIC,African Network Information Center,156.200.0.0/16,16,156.200.0.0/16
AFRINIC,African Network Information Center,156.204.0.0/16,16,156.204.0.0/16
AFRINIC,African Network Information Center,156.212.0.0/16,16,156.212.0.0/16
AFRINIC,African Network Information Center,156.213.0.0/16,16,156.213.0.0/16
AFRINIC,African Network Information Center,156.214.0.0/16,16,156.214.0.0/16
AFRINIC,African Network Information Center,156.215.0.0/16,16,156.215.0.0/16
AFRINIC,African Network Information Center,156.222.0.0/16,16,156.222.0.0/16
AFRINIC,African Network Information Center,156.223.0.0/16,16,156.223.0.0/16
AFRINIC,African Network Information Center,156.238.0.0/16,16,156.238.0.0/16
AFRINIC,African Network Information Center,156.251.0.0/16,16,156.251.0.0/16
AFRINIC,African Network Information Center,156.252.0.0/16,16,156.252.0.0/16
AFRINIC,African Network Information Center,156.255.0.0/16,16,156.255.0.0/16
AFRINIC,African Network Information Center,160.0.0.0/16,16,160.0.0.0/16
AFRINIC,African Network Information Center,160.119.0.0/16,16,160.119.0.0/16
AFRINIC,African Network Information Center,160.162.0.0/16,16,160.162.0.0/16
AFRINIC,African Network Information Center,160.163.0.0/16,16,160.163.0.0/16
AFRINIC,African Network Information Center,160.167.0.0/16,16,160.167.0.0/16
AFRINIC,African Network Information Center,160.168.0.0/16,16,160.168.0.0/16
AFRINIC,African Network Information Center,160.170.0.0/16,16,160.170.0.0/16
AFRINIC,African Network Information Center,160.175.0.0/16,16,160.175.0.0/16
AFRINIC,African Network Information Center,160.177.0.0/16,16,160.177.0.0/16
AFRINIC,African Network Information Center,160.178.0.0/16,16,160.178.0.0/16
AFRINIC,African Network Information Center,160.179.0.0/16,16,160.179.0.0/16
AFRINIC,African Network Information Center,160.184.0.0/16,16,160.184.0.0/16
AFRINIC,African Network Information Center,160.19.232.0/21,21,160.19.232.0/21
AFRINIC,African Network Information Center,164.160.0.0/16,16,164.160.0.0/16
AFRINIC,African Network Information Center,165.231.0.0/16,16,165.231.0.0/16
AFRINIC,African Network Information Center,165.255.0.0/16,16,165.255.0.0/16
AFRINIC,African Network Information Center,165.73.0.0/16,16,165.73.0.0/16
AFRINIC,African Network Information Center,165.90.0.0/16,16,165.90.0.0/16
AFRINIC,African Network Information Center,168.167.0.0/16,16,168.167.0.0/16
